seed = 955873387892604119

======================================================================
Testing Stage 4 W=28 (Stage 3 W=34)
======================================================================
Starting MMA Modeling Verification (10000 iterations)...
Test 366/10000: K=1024, A=outliers  , B=outliers   ... SUCCESS
Test 367/10000: K= 128, A=outliers  , B=outliers   ... SUCCESS
Test 368/10000: K= 512, A=outliers  , B=outliers   ... SUCCESS
Test 369/10000: K= 256, A=outliers  , B=outliers   ... SUCCESS
Test 370/10000: K= 512, A=outliers  , B=outliers   ... SUCCESS
Test 371/10000: K= 512, A=outliers  , B=outliers   ... SUCCESS
Test 372/10000: K= 512, A=outliers  , B=outliers   ... SUCCESS
Test 373/10000: K=1024, A=outliers  , B=outliers   ... SUCCESS
Test 374/10000: K= 512, A=outliers  , B=outliers   ... SUCCESS
Test 375/10000: K= 256, A=outliers  , B=outliers   ... SUCCESS
Test 376/10000: K= 256, A=outliers  , B=outliers   ... SUCCESS
Test 377/10000: K= 128, A=outliers  , B=outliers   ... SUCCESS
Test 378/10000: K= 128, A=outliers  , B=outliers   ... SUCCESS
Test 379/10000: K= 128, A=outliers  , B=outliers   ... SUCCESS
Test 380/10000: K= 512, A=outliers  , B=outliers   ... SUCCESS
Test 381/10000: K=1024, A=outliers  , B=outliers   ... SUCCESS
Test 382/10000: K= 512, A=outliers  , B=outliers   ... SUCCESS
Test 383/10000: K= 128, A=outliers  , B=outliers   ... SUCCESS
Test 384/10000: K=1024, A=outliers  , B=outliers   ... SUCCESS
Test 385/10000: K= 128, A=outliers  , B=outliers   ... SUCCESS
Test 386/10000: K= 256, A=outliers  , B=outliers   ... SUCCESS
Test 387/10000: K= 512, A=outliers  , B=outliers   ... SUCCESS
